Id,SalePrice
1461,149386.20729577797
1462,286684.4051772
1463,119615.67674151273
1464,171129.76105440105
1465,289603.7488171635
1466,57095.69519178686
1467,213791.2778195287
1468,173936.84765413473
1469,56044.263760896865
1470,122008.57093782141
1471,158142.88700656965
1472,107299.1241080279
1473,90713.99987815553
1474,225987.95934803598
1475,197337.58779761777
1476,124856.3905461675
1477,218221.4385357108
1478,130719.83887531608
1479,120174.14333153819
1480,221518.41614481993
1481,178305.20307082613
1482,232398.18561267573
1483,186266.07885347563
1484,118849.319514876
1485,216804.2090632466
1486,178650.05910139345
1487,214905.50303241774
1488,95223.82283869083
1489,192357.2499076291
1490,215490.80489612068
1491,125975.50261074305
1492,252673.57164872624
1493,207477.11162922392
1494,87020.06444457406
1495,270104.10552411736
1496,142968.35028536408
1497,160666.5219381533
1498,227249.98798109568
1499,295207.48997988016
1500,81116.4919141694
1501,142560.12009545113
1502,234973.72525682463
1503,114208.54561986076
1504,299001.0194938693
1505,128236.01555821393
1506,163615.9266451334
1507,107979.43224178115
1508,111915.37538078893
1509,341172.06135459384
1510,130664.72287712223
1511,103096.06155911437
1512,194924.66134235216
1513,116241.00147922244
1514,291357.2483127788
1515,160887.26663293107
1516,240284.2486480032
1517,212500.00918919127
1518,145904.73713836353
1519,162152.4000881135
1520,94102.60993382428
1521,49833.89233456878
1522,138467.44551849226
1523,294679.36118030245
1524,265253.3390318414
1525,279075.96692072577
1526,213606.6535372911
1527,99607.97219334496
1528,292567.0954334722
1529,109903.33379663737
1530,182114.9754064656
1531,138463.1901054401
1532,124077.36222290341
1533,84527.10511663998
1534,62724.53878825414
1535,339768.11103832326
1536,186704.75723732822
1537,293383.59478808916
1538,270989.7958620242
1539,121316.2905606504
1540,103330.37783809542
1541,135567.4983531651
1542,102382.35849206406
1543,124556.00555009907
1544,94025.77246189327
1545,167207.6154220996
1546,119872.74467199855
1547,270978.83113147016
1548,211445.7014503358
1549,160887.26663293107
1550,205121.13762074895
1551,167356.28266402893
1552,155175.67467659852
1553,111002.47502724896
1554,268671.5241624552
1555,131331.77009368455
1556,193113.24036709918
1557,196894.45129078534
1558,200400.3777777357
1559,224978.69080261537
1560,233367.51008953573
1561,197282.00142099522
1562,220822.01581630926
1563,256264.28122514999
1564,162817.7428487211
1565,165272.15624469426
1566,178440.07861432433
1567,165445.10586349084
1568,249743.496459021
1569,146024.8350707402
1570,181351.88927532872
1571,2438.4965908853337
1572,107190.38199189538
1573,130204.25751145324
1574,137435.6969773136
1575,224953.107150411
1576,103656.88028024067
1577,96625.19607320055
1578,139418.14325851714
1579,173403.07333095605
1580,305580.176737322
1581,153970.8447657118
1582,160887.26663293107
1583,191642.44509418542
1584,185192.99002100108
1585,189841.74047835986
1586,110048.02631273097
1587,242149.88219985832
1588,96311.59812608571
1589,140187.304510887
1590,200868.34971866244
1591,210555.8282565463
1592,292739.646991611
1593,218252.53946887283
1594,148818.01592349727
1595,13109.727324627573
1596,314667.62358237174
1597,295324.12371074175
1598,117036.61630797293
1599,250076.0918140551
1600,439241.0697210757
1601,311434.3215256217
1602,118312.66617383086
1603,187002.76053114142
1604,171750.08592614555
1605,129643.27466442809
1606,107908.95592450211
1607,200206.60209162557
1608,217696.6814306199
1609,112012.5624215072
1610,33881.73757555522
1611,81774.15620418848
1612,158347.0506222397
1613,242277.19813646353
1614,186614.8189868373
1615,65024.60830766312
1616,134560.4739374346
1617,129712.4770097658
1618,169766.2656015777
1619,51374.196122562746
1620,122144.1649566011
1621,227231.75504244212
1622,162223.0763294259
1623,271723.709296233
1624,152003.16030736314
1625,111365.0079198468
1626,149235.28222862282
1627,228052.60720732482
1628,308296.52867828053
1629,351765.91458953125
1630,205224.54327651625
1631,308111.82166498527
1632,65588.82398759015
1633,107500.35425443202
1634,176102.22959700483
1635,303843.45075032674
1636,110826.73698657937
1637,139928.00370997842
1638,218432.96833980037
1639,128769.98534664116
1640,188295.2877944333
1641,158249.06657378864
1642,115464.13917787815
1643,132834.48380050273
1644,166191.85972306784
1645,253621.98692383664
1646,176845.98924785154
1647,269028.6406906226
1648,238477.80405253032
1649,216038.39586276584
1650,90991.42557306075
1651,144738.90387531463
1652,110557.57064243988
1653,111411.04884567065
1654,147554.52007710212
1655,192136.386123213
1656,163587.1972039654
1657,227052.38529075054
1658,86124.51701317145
1659,239208.50863373
1660,108836.00600148924
1661,211029.3619908928
1662,199756.6757456977
1663,121662.76944410382
1664,305730.00077272695
1665,212601.39516774565
1666,114118.13278700016
1667,252770.52501409082
1668,138209.3087839801
1669,163646.76742177596
1670,107033.8409684666
1671,247468.00840554363
1672,161378.40447248472
1673,83738.12342810677
1674,182682.7491724249
1675,204708.31319216755
1676,250028.5844112623
1677,232209.8381923067
1678,120913.80055486644
1679,127553.11056511267
1680,146103.06478423811
1681,128062.44022501283
1682,232743.38941375515
1683,175775.01849909686
1684,102683.11714251619
1685,259530.22565559112
1686,156829.29472326976
1687,95752.41504234541
1688,90027.7108674245
1689,184432.94771887828
1690,80575.56238754815
